Date,Gold_IDR_gram,USDIDR,IHSG
2016-07-25,556206.907270346,13113.0,5220.5986328125
2016-07-26,556032.7892550903,13095.0,5224.19140625
2016-07-27,561374.4073387918,13162.0,5274.15576171875
2016-07-28,561045.0926600151,13098.0,5299.0068359375
2016-07-29,566342.7588535052,13058.0,5215.791015625
2016-08-01,565699.3045114245,13020.0,5361.36767578125
2016-08-02,570702.4713497502,13010.0,5373.11376953125
2016-08-03,570805.8861662222,13092.0,5351.669921875
2016-08-04,574039.3409616783,13140.0,5373.6533203125
2016-08-05,562986.4651855085,13103.0,5420.03515625
2016-08-08,562537.1781426955,13122.0,5458.7666015625
2016-08-09,564167.8589226293,13105.0,5440.0810546875
2016-08-10,566228.0752872591,13101.0,5423.73828125
2016-08-11,564692.9605992895,13083.0,5418.876953125
2016-08-12,562518.9782355934,13098.0,5376.986328125
2016-08-15,564758.7068960536,13106.0,5320.353515625
2016-08-16,567146.173260244,13062.0,5371.63671875
2016-08-17,565985.7913036942,13111.0,5371.63671875
2016-08-18,569742.5485755346,13115.0,5461.23779296875
2016-08-19,564930.1178338112,13109.0,5415.82470703125
2016-08-22,566802.6960468803,13179.0,5426.9638671875
2016-08-23,569324.5158105887,13209.0,5416.9296875
2016-08-24,563509.2488978958,13234.0,5403.78173828125
2016-08-25,562698.2647071345,13258.0,5453.904296875
2016-08-26,562785.1849470317,13246.0,5438.619140625
2016-08-29,566103.4714727015,13310.0,5370.5546875
2016-08-30,558695.9973355089,13248.0,5362.107421875
2016-08-31,558122.1735268376,13283.0,5385.87255859375
2016-09-01,560258.9853734307,13280.0,5334.33935546875
2016-09-02,564188.3703104843,13273.0,5353.2529296875
2016-09-05,564188.3703104843,13195.0,5356.74560546875
2016-09-06,569417.4392089177,13125.0,5371.88671875
2016-09-07,564369.6059156576,13058.0,5381.14453125
2016-09-08,561736.6739493496,13070.0,5370.86865234375
2016-09-09,558964.0002213188,13071.0,5281.7109375
2016-09-12,559599.2733936695,13176.0,5281.7109375
2016-09-13,558582.4103396725,13172.0,5215.36376953125
2016-09-14,562572.7490475348,13241.0,5145.837890625
2016-09-15,557055.5885993538,13191.0,5265.61376953125
2016-09-16,551816.8643977969,13144.0,5267.56396484375
2016-09-19,555873.1493240311,13163.0,5321.63330078125
2016-09-20,554944.0949876144,13139.0,5302.287109375
2016-09-21,561330.7351661464,13158.0,5342.3837890625
2016-09-22,562732.2815374099,13058.0,5380.052734375
2016-09-23,561560.7813335166,13062.0,5388.69873046875
2016-09-26,562223.0122862855,13053.0,5351.93115234375
2016-09-27,555834.8873385619,13039.0,5419.39306640625
2016-09-28,547934.8020433856,12917.0,5425.1259765625
2016-09-29,549059.915092893,12921.0,5431.7451171875
2016-09-30,549032.7627087662,13003.0,5364.59521484375
2016-10-03,545677.9462118411,12966.0,5463.70263671875
2016-10-04,527714.9270310466,12962.0,5472.103515625
2016-10-05,530063.1942939124,13031.0,5420.43701171875
2016-10-06,522928.21822139685,13014.0,5409.1337890625
2016-10-07,522190.26210892294,13005.0,5376.939453125
2016-10-10,522190.26210892294,12967.0,5360.61962890625
2016-10-11,520722.0409278698,12926.0,5381.78759765625
